;Vertex,頂点Index,位置_x,位置_y,位置_z,法線_x,法線_y,法線_z,エッジ倍率,UV_u,UV_v,追加UV1_x,追加UV1_y,追加UV1_z,追加UV1_w,追加UV2_x,追加UV2_y,追加UV2_z,追加UV2_w,追加UV3_x,追加UV3_y,追加UV3_z,追加UV3_w,追加UV4_x,追加UV4_y,追加UV4_z,追加UV4_w,ウェイト変形タイプ(0:BDEF1/1:BDEF2/2:BDEF4/3:SDEF/4:QDEF),ウェイト1_ボーン名,ウェイト1_ウェイト値,ウェイト2_ボーン名,ウェイト2_ウェイト値,ウェイト3_ボーン名,ウェイト3_ウェイト値,ウェイト4_ボーン名,ウェイト4_ウェイト値,C_x,C_y,C_z,R0_x,R0_y,R0_z,R1_x,R1_y,R1_z
Vertex,17765,0.1591029,12.91256,0.9497999,0.06796314,0.659191,0.748898,1,0.984375,0.03571427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"上半身",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,17766,0.2249238,13.47513,0.4486378,0.06796314,0.659191,0.748898,1,0.96875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"上半身",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,17767,0.3182057,12.91256,0.9353612,0.06796314,0.659191,0.748898,1,0.96875,0.03571427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"上半身",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,17768,0.4711942,12.91256,0.8926003,0.2027601,0.6577555,0.7254282,1,0.953125,0.03571427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"上半身",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,17769,0.4412038,13.47513,0.3908864,0.2027601,0.6577555,0.7254282,1,0.9375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"上半身",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,17770,0.6241827,12.91256,0.8498394,0.2027601,0.6577555,0.7254282,1,0.9375,0.03571427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"上半身",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,17771,0.7651777,12.91256,0.7803993,0.3335661,0.6557516,0.6772912,1,0.921875,0.03571427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"上半身",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,17772,0.6405286,13.47513,0.2971031,0.3335661,0.6557516,0.6772912,1,0.90625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"上半身",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,17773,0.9061728,12.91256,0.7109592,0.3335661,0.6557516,0.6772912,1,0.9062499,0.03571433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"上半身",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,17774,1.029756,12.91256,0.6175087,0.4565727,0.6534336,0.6037929,1,0.890625,0.03571427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"上半身",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,17775,0.8152382,13.47513,0.1708922,0.4565727,0.6534336,0.6037929,1,0.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"上半身",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,17776,1.153339,12.91256,0.5240582,0.4565727,0.6534336,0.6037929,1,0.875,0.03571427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"上半身",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,17777,1.254761,12.91256,0.4101883,0.5667813,0.6510861,0.5048227,1,0.859375,0.03571427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"上半身",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,17778,0.9586188,13.47513,0.01710343,0.5667813,0.6510861,0.5048227,1,0.84375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"上半身",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,17779,1.356183,12.91256,0.2963184,0.5667813,0.6510861,0.5048227,1,0.8437501,0.03571427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"上半身",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,17780,1.431547,12.91256,0.1664053,0.6580948,0.6489742,0.3817642,1,0.828125,0.03571427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"上半身",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,17781,1.06516,13.47513,-0.1583526,0.6580948,0.6489742,0.3817642,1,0.8125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"上半身",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,17782,1.50691,12.91256,0.03649215,0.6580948,0.6489742,0.3817642,1,0.8125,0.03571427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"上半身",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,17783,1.553319,12.91256,-0.1044718,0.7240109,0.6472958,0.2383615,1,0.796875,0.03571427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"上半身",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,17784,1.130768,13.47513,-0.3487335,0.7240109,0.6472958,0.2383615,1,0.78125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"上半身",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,17785,1.599727,12.91256,-0.2454357,0.7240109,0.6472958,0.2383615,1,0.78125,0.03571427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"上半身",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,17786,1.615397,12.91256,-0.3920334,0.7588814,0.646157,0.08111942,1,0.765625,0.03571427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"上半身",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,17787,1.152921,13.47513,-0.5467231,0.7588814,0.646157,0.08111942,1,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"上半身",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,17788,1.631068,12.91256,-0.538631,0.7588814,0.646157,0.08111942,1,0.75,0.03571427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"上半身",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,17789,1.615398,12.91256,-0.6852287,0.7593713,0.6455745,-0.08117097,1,0.734375,0.03571427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"上半身",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,17790,1.130768,13.47513,-0.7447127,0.7593713,0.6455745,-0.08117097,1,0.71875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"上半身",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,17791,1.599727,12.91256,-0.8318263,0.7593713,0.6455745,-0.08117097,1,0.71875,0.03571427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"上半身",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,17792,1.553319,12.91256,-0.9727903,0.7254582,0.6454974,-0.2388378,1,0.703125,0.03571427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"上半身",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,17793,1.06516,13.47513,-0.9350936,0.7254582,0.6454974,-0.2388378,1,0.6875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"上半身",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,17794,1.50691,12.91256,-1.113754,0.7254582,0.6454974,-0.2388378,1,0.6874999,0.03571433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"上半身",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,17795,1.011889,13.47513,-1.022822,0.6616023,0.6441899,-0.3837993,1,0.671875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"上半身",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,17796,1.356183,12.91256,-1.373581,0.6616023,0.6441899,-0.3837993,1,0.65625,0.03571427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"上半身",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,17797,1.431547,12.91256,-1.243667,0.6616023,0.6441899,-0.3837993,1,0.671875,0.03571427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"上半身",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,17798,0.8869285,13.47513,-1.187444,0.5709594,0.6445057,-0.5085448,1,0.640625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"上半身",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,17799,1.153339,12.91256,-1.60132,0.5709594,0.6445057,-0.5085448,1,0.625,0.03571433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"上半身",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,17800,1.254761,12.91256,-1.487451,0.5709594,0.6445057,-0.5085448,1,0.640625,0.03571427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"上半身",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,17801,0.7278834,13.47513,-1.327444,0.4608235,0.6451803,-0.6094129,1,0.609375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"上半身",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,17802,0.9061728,12.91256,-1.788222,0.4608235,0.6451803,-0.6094129,1,0.59375,0.03571427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"上半身",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,17803,1.029756,12.91256,-1.694771,0.4608235,0.6451803,-0.6094129,1,0.609375,0.03571427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"上半身",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,17804,0.7651776,12.91256,-1.857662,0.3366828,0.6475404,-0.6836199,1,0.578125,0.03571427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"上半身",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,17805,0.4412036,13.47513,-1.484333,0.3366828,0.6475404,-0.6836199,1,0.5625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"上半身",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,17806,0.6241824,12.91256,-1.927102,0.3366828,0.6475404,-0.6836199,1,0.5625,0.03571427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"上半身",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,17807,0.4711939,12.91256,-1.969863,0.2050875,0.6477195,-0.7337565,1,0.546875,0.03571427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"上半身",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,17808,0.2249236,13.47513,-1.542084,0.2050875,0.6477195,-0.7337565,1,0.53125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"上半身",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,17809,0.3182053,12.91256,-2.012624,0.2050875,0.6477195,-0.7337565,1,0.53125,0.03571427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"上半身",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,17810,0.1591024,12.91256,-2.027062,0.06887753,0.6474609,-0.7589798,1,0.515625,0.03571427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"上半身",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,17811,-2.437076E-07,13.47513,-1.561585,0.06887753,0.6474609,-0.7589798,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"上半身",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,17812,-4.176903E-07,12.91256,-2.041501,0.06887753,0.6474609,-0.7589798,1,0.5,0.03571427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"上半身",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,17813,-0.1591032,12.91256,-2.027062,-0.06893365,0.6467459,-0.7595842,1,0.484375,0.03571427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"上半身",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,17814,-0.224924,13.47513,-1.542084,-0.06893365,0.6467459,-0.7595842,1,0.46875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"上半身",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
