;Vertex,頂点Index,位置_x,位置_y,位置_z,法線_x,法線_y,法線_z,エッジ倍率,UV_u,UV_v,追加UV1_x,追加UV1_y,追加UV1_z,追加UV1_w,追加UV2_x,追加UV2_y,追加UV2_z,追加UV2_w,追加UV3_x,追加UV3_y,追加UV3_z,追加UV3_w,追加UV4_x,追加UV4_y,追加UV4_z,追加UV4_w,ウェイト変形タイプ(0:BDEF1/1:BDEF2/2:BDEF4/3:SDEF/4:QDEF),ウェイト1_ボーン名,ウェイト1_ウェイト値,ウェイト2_ボーン名,ウェイト2_ウェイト値,ウェイト3_ボーン名,ウェイト3_ウェイト値,ウェイト4_ボーン名,ウェイト4_ウェイト値,C_x,C_y,C_z,R0_x,R0_y,R0_z,R1_x,R1_y,R1_z
Vertex,11167,1.835066,11.63733,-0.471853,0.9311453,0.3629685,0.03496324,1,0.7357739,0.59237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Skrt-001-001",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,11168,1.80665,11.66749,-0.2410869,0.9205865,0.3901788,0.01676279,1,0.7555509,0.59237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Skrt-001-001",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,11169,2.063931,11.03324,-0.1993173,0.927527,0.3647494,-0.08155745,1,0.7523599,0.681077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Skrt-003-001",0.5159063,"Skrt-001-001",0.4840937,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,11170,1.83255,11.69335,0.05053657,0.9061198,0.4008938,-0.1350225,1,0.77955,0.59237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Skrt-001-001",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,11181,2.179682,8.375719,-1.443598,0.9697129,0.1582781,-0.1860241,1,0.63823,0.980303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Skrt-003-051",0.539445,"Skrt-003-052",0.460555,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,11182,2.152922,8.324125,-1.70705,0.9762349,0.1719717,-0.1318757,1,0.625288,0.980303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Skrt-003-051",0.782564,"Skrt-003-049",0.217436,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,11183,1.976045,9.356867,-1.670453,0.9635938,0.1711047,-0.2054513,1,0.6285529,0.868008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Skrt-003-051",0.7940036,"Skrt-003-049",0.2059964,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,11184,2.027489,9.393883,-1.454228,0.9493563,0.177906,-0.2589828,1,0.6404799,0.868008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Skrt-003-051",0.5786824,"Skrt-003-052",0.4213176,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,11185,1.820818,10.12011,-1.627597,0.934868,0.2284322,-0.271736,1,0.630145,0.777331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Skrt-003-051",0.8023111,"Skrt-003-049",0.1976889,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,11186,1.865037,10.15192,-1.451954,0.9286548,0.2520185,-0.2721892,1,0.6414769,0.777331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Skrt-003-051",0.6216189,"Skrt-003-052",0.3783811,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,11187,1.609008,10.89543,-1.543155,0.9175946,0.2885943,-0.2733742,1,0.6320919,0.681077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"Skrt-001-051",0.4501548,"Skrt-003-051",0.3788726,"Skrt-001-049",0.09283663,"Skrt-003-049",0.07813593,0,0,0,0,0,0,0,0,0
Vertex,11188,1.632856,10.93592,-1.412953,0.9118444,0.2952178,-0.2852829,1,0.64179,0.681077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"Skrt-003-049",0.2914867,"Skrt-001-049",0.2604503,"Skrt-003-051",0.2574348,"Skrt-001-051",0.1906282,0,0,0,0,0,0,0,0,0
Vertex,11189,1.417055,11.53816,-1.430481,0.8921448,0.3091133,-0.3294338,1,0.635608,0.59237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Skrt-001-051",0.9015549,"Skrt-001-049",0.09844506,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,11192,1.448472,11.53106,-1.361564,0.8750469,0.3065475,-0.3745952,1,0.6422541,0.59237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Skrt-001-049",0.8702885,"Skrt-001-051",0.1297115,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,11194,1.976045,9.356867,-1.670453,0.1982681,0.0893767,-0.9760643,1,0.6285529,0.868008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Skrt-003-051",0.7940036,"Skrt-003-049",0.2059964,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,11195,2.152922,8.324125,-1.70705,0.2697284,0.08101221,-0.9595226,1,0.625288,0.980303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Skrt-003-051",0.782564,"Skrt-003-049",0.217436,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,11196,1.849919,8.302491,-1.794093,0.1579596,0.085871,-0.9837047,1,0.609459,0.980303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Skrt-003-049",0.6080971,"Skrt-003-051",0.3919029,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,11197,1.671963,9.330134,-1.72142,0.1154945,0.08768327,-0.9894305,1,0.6114,0.868008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Skrt-003-049",0.5922595,"Skrt-003-051",0.4077405,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,11198,1.533428,8.292608,-1.809184,0.08251959,0.07318933,-0.9938983,1,0.593399,0.980303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Skrt-003-049",0.644744,"Skrt-003-047",0.355256,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,11199,1.820818,10.12011,-1.627597,0.1201331,0.1094569,-0.9867052,1,0.630145,0.777331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Skrt-003-051",0.8023111,"Skrt-003-049",0.1976889,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,11200,1.347614,9.336855,-1.759857,0.1375452,0.08248974,-0.9870546,1,0.593679,0.868008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Skrt-003-049",0.6160895,"Skrt-003-047",0.3839105,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,11207,1.523031,10.08349,-1.66301,0.1595937,0.1055219,-0.9815269,1,0.6115639,0.777331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Skrt-003-049",0.6070018,"Skrt-003-051",0.3929982,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,11208,2.577426,9.409873,-1.173387,0.8836399,0.2271134,0.4093898,1,0.674439,0.868008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Skrt-003-049",0.5852736,"Skrt-003-051",0.4147264,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,11209,2.72999,8.382438,-0.9830076,0.8771628,0.2102157,0.4317346,1,0.685389,0.980303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Skrt-003-049",0.5360807,"Skrt-003-051",0.4639193,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,11210,2.84058,8.37794,-1.16881,0.8407848,0.2165246,0.4961833,1,0.674351,0.980303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Skrt-003-049",0.5379738,"Skrt-003-051",0.4620262,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,11211,2.504537,9.415687,-0.9902655,0.8898292,0.2459907,0.384308,1,0.685724,0.868008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Skrt-003-049",0.5789488,"Skrt-003-051",0.4210512,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,11212,2.33383,10.18206,-1.145924,0.8645436,0.2814353,0.4163634,1,0.675623,0.777331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Skrt-003-049",0.6367677,"Skrt-003-051",0.3632323,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,11213,1.609008,10.89543,-1.543155,0.2031308,0.1595944,-0.9660577,1,0.6320919,0.681077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"Skrt-001-051",0.4501548,"Skrt-003-051",0.3788726,"Skrt-001-049",0.09283663,"Skrt-003-049",0.07813593,0,0,0,0,0,0,0,0,0
Vertex,11214,2.240672,10.20428,-0.9863417,0.8622746,0.2862995,0.4177501,1,0.686804,0.777331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Skrt-003-049",0.6175289,"Skrt-003-051",0.3824711,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,11215,1.238001,10.09336,-1.715935,0.2108858,0.08591753,-0.9737275,1,0.593794,0.777331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Skrt-003-049",0.6398943,"Skrt-003-047",0.3601057,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,11216,2.039345,10.94244,-1.0929,0.8793759,0.3018291,0.3682353,1,0.678794,0.681077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"Skrt-003-049",0.2912247,"Skrt-001-049",0.2840087,"Skrt-003-051",0.2211502,"Skrt-001-051",0.2036163,0,0,0,0,0,0,0,0,0
Vertex,11217,1.98929,10.96054,-0.9645166,0.9167061,0.3107108,0.2512144,1,0.688613,0.681077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"Skrt-003-049",0.2920963,"Skrt-001-049",0.2775243,"Skrt-003-051",0.2307962,"Skrt-001-051",0.1995832,0,0,0,0,0,0,0,0,0
Vertex,11218,1.36779,10.87459,-1.616612,0.2703628,0.1471585,-0.9514454,1,0.613711,0.681077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"Skrt-001-049",0.3189062,"Skrt-003-049",0.2620703,"Skrt-001-051",0.2300079,"Skrt-003-051",0.1890156,0,0,0,0,0,0,0,0,0
Vertex,11219,1.775412,11.58148,-1.019016,0.9284866,0.3451026,0.1371739,1,0.683478,0.59237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Skrt-001-049",0.6410156,"Skrt-001-051",0.3589844,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,11220,1.771401,11.59354,-0.9466979,0.9362647,0.3512525,-0.005487667,1,0.690376,0.59237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Skrt-001-049",0.6291569,"Skrt-001-051",0.3708431,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,11222,2.92628,8.407147,-0.7072882,0.8085583,0.2092166,-0.5499654,1,0.702777,0.980303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Skrt-003-001",1,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0
