;Vertex,頂点Index,位置_x,位置_y,位置_z,法線_x,法線_y,法線_z,エッジ倍率,UV_u,UV_v,追加UV1_x,追加UV1_y,追加UV1_z,追加UV1_w,追加UV2_x,追加UV2_y,追加UV2_z,追加UV2_w,追加UV3_x,追加UV3_y,追加UV3_z,追加UV3_w,追加UV4_x,追加UV4_y,追加UV4_z,追加UV4_w,ウェイト変形タイプ(0:BDEF1/1:BDEF2/2:BDEF4/3:SDEF/4:QDEF),ウェイト1_ボーン名,ウェイト1_ウェイト値,ウェイト2_ボーン名,ウェイト2_ウェイト値,ウェイト3_ボーン名,ウェイト3_ウェイト値,ウェイト4_ボーン名,ウェイト4_ウェイト値,C_x,C_y,C_z,R0_x,R0_y,R0_z,R1_x,R1_y,R1_z
Vertex,9208,-2.931302,5.710161,1.736515,-0.641409,0.2820077,0.7134887,1,0.2906768,0.8367636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"右ひざD",0.8719217,"右足D",0.09138991,"装飾_06-01_J_Sec_R_CoatSkirtSide1",0.03668846,"全ての親",0,0,0,0,0,0,0,0,0,0
Vertex,9209,-2.271963,6.273975,1.917918,-0.4893616,0.2789212,0.8262737,1,0.270805,0.8136519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"右ひざD",0.7078969,"右足D",0.2921031,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,9210,-2.777641,6.285105,1.648032,-0.6630497,0.295188,0.6879165,1,0.2906768,0.8136519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"右ひざD",0.6794065,"右足D",0.3205935,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,9219,-3.291514,5.6937,1.237028,-0.8564752,0.2811081,0.43293,1,0.3106309,0.8367636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"右ひざD",0.8208624,"右足D",0.09170843,"装飾_06-01_J_Sec_R_CoatSkirtSide1",0.08742914,"全ての親",0,0,0,0,0,0,0,0,0,0
Vertex,9224,-2.400077,5.70247,2.028162,-0.5027273,0.2746656,0.8196487,1,0.270805,0.8367636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"右ひざD",0.8965136,"右足D",0.1034864,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,9227,-3.079056,5.14313,1.823257,-0.6535569,0.2739177,0.7055724,1,0.2906768,0.8599187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"右ひざD",0.9051907,"装飾_06-01_J_Sec_R_CoatSkirtSide1",0.05585013,"装飾_06-02_J_Sec_R_CoatSkirtSide2",0.03895913,"全ての親",0,0,0,0,0,0,0,0,0,0
Vertex,9233,-2.523983,5.136589,2.140804,-0.5153185,0.2647424,0.8150818,1,0.270805,0.8599187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"右ひざD",0.9500112,"装飾_06-02_J_Sec_R_CoatSkirtSide2",0.02629285,"右足D",0.02369595,"全ての親",0,0,0,0,0,0,0,0,0,0
Vertex,9236,-3.444244,5.12523,1.299367,-0.8671708,0.2745679,0.4154844,1,0.3106309,0.8599187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"右ひざD",0.8145772,"装飾_06-01_J_Sec_R_CoatSkirtSide1",0.1332318,"装飾_06-02_J_Sec_R_CoatSkirtSide2",0.05219095,"全ての親",0,0,0,0,0,0,0,0,0,0
Vertex,9243,-3.518108,5.662374,0.6163446,-0.9407103,0.2648272,0.2119685,1,0.3305092,0.8367636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"右ひざD",0.7130494,"装飾_06-01_J_Sec_R_CoatSkirtSide1",0.2067549,"右足D",0.08019572,"全ての親",0,0,0,0,0,0,0,0,0,0
Vertex,9244,-3.664706,5.0923,0.6463417,-0.9453656,0.2576847,0.199706,1,0.3305092,0.8599187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"右ひざD",0.6336592,"装飾_06-01_J_Sec_R_CoatSkirtSide1",0.3014218,"装飾_06-02_J_Sec_R_CoatSkirtSide2",0.064919,"全ての親",0,0,0,0,0,0,0,0,0,0
Vertex,9250,-3.433696,6.211845,-0.02112803,-0.9637439,0.2656929,-0.02459615,1,0.3500383,0.8136519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"右ひざD",0.3494408,"右足D",0.3976096,"装飾_06-01_J_Sec_R_CoatSkirtSide1",0.2529497,"全ての親",0,0,0,0,0,0,0,0,0,0
Vertex,9251,-3.589788,5.624592,-0.02736819,-0.9659273,0.2527463,-0.05571059,1,0.3500383,0.8367636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"右ひざD",0.5,"装飾_06-01_J_Sec_R_CoatSkirtSide1",0.5,"",0,"",0,0,0,0,0,0,0,0,0,0
Vertex,9257,-3.218332,4.561295,1.913597,-0.6611576,0.2671735,0.7010627,1,0.2906768,0.8837376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"右ひざD",0.8515735,"装飾_06-02_J_Sec_R_CoatSkirtSide2",0.1000909,"装飾_06-01_J_Sec_R_CoatSkirtSide1",0.04833556,"全ての親",0,0,0,0,0,0,0,0,0,0
Vertex,9260,-2.647359,4.551358,2.246261,-0.5266055,0.2606367,0.8091695,1,0.270805,0.8837376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"右ひざD",0.8635184,"装飾_04-01_J_Sec_R_CoatSkirtBack",0.07401051,"装飾_06-02_J_Sec_R_CoatSkirtSide2",0.06247114,"全ての親",0,0,0,0,0,0,0,0,0,0
Vertex,9264,-3.359282,3.979064,2.002876,-0.6670475,0.2593561,0.698414,1,0.2906768,0.9071475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"右ひざD",0.6477337,"装飾_06-02_J_Sec_R_CoatSkirtSide2",0.2083765,"装飾_04-01_J_Sec_R_CoatSkirtBack",0.1438898,"全ての親",0,0,0,0,0,0,0,0,0,0
Vertex,9267,-3.599968,4.541251,1.357218,-0.8737805,0.2709158,0.4038717,1,0.3106309,0.8837376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"右ひざD",0.7308772,"装飾_06-02_J_Sec_R_CoatSkirtSide2",0.1385989,"装飾_06-01_J_Sec_R_CoatSkirtSide1",0.130524,"全ての親",0,0,0,0,0,0,0,0,0,0
Vertex,9272,-3.815753,4.50809,0.6721342,-0.9491146,0.2548922,0.1849633,1,0.3305092,0.8837376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"右ひざD",0.5245589,"装飾_06-01_J_Sec_R_CoatSkirtSide1",0.2965281,"装飾_06-02_J_Sec_R_CoatSkirtSide2",0.178913,"全ての親",0,0,0,0,0,0,0,0,0,0
